"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"CLO"," 835","NBB","A","36","29","A4515","19:00:00","20:45:00","N","Y","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NBB","A","36","29","ONLINE","19:55:00","21:40:00","N","N","N","Y","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 745","NCE","A","31","27","D3018","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","31","27","A1508","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"PMC"," 115","NCE","A","35","9","D3018","19:55:00","21:40:00","Y","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NIA","A","36","20","A3512","17:10:00","18:55:00","Y","N","N","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NIA","A","36","20","C3032","10:45:00","12:30:00","N","N","N","N","Y","Akkus,Tayfun","P","NH"
"PMC"," 700","NAA","A","36","11","A1509A","13:30:00","15:15:00","Y","N","N","N","N","Akkus,Tayfun","H","NH"
"PMC"," 700","NAA","A","36","11","ONLINE","10:45:00","12:30:00","N","N","Y","N","N","Akkus,Tayfun","H","NH"
"CSN"," 205","NCC","A","36","26","K1001","15:20:00","18:55:00","N","N","N","N","Y","Al Quraishi,Rami","H","NH"
"CSN"," 205","NCC","A","36","26","ONLINE","16:15:00","18:00:00","N","Y","N","N","N","Al Quraishi,Rami","H","NH"
"DCN"," 230","NAA","A","36","4","B1025","10:45:00","11:35:00","Y","N","N","N","N","Al Quraishi,Rami","FL","NH"
"DCN"," 230","NAAL","A","36","4","K1001","08:00:00","10:40:00","N","N","N","N","Y","Al Quraishi,Rami","P","NH"
"DCN"," 230","NBB","A","36","30","B4059","08:55:00","09:45:00","Y","N","N","N","N","Al-Ani,Ahmed","FL","NH"
"DCN"," 230","NBBL","A","36","30","K1001","09:50:00","12:30:00","N","Y","N","N","N","Al-Ani,Ahmed","P","NH"
"CSN"," 405","NAA","A","36","30","K1270","11:40:00","13:25:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NAA","A","36","30","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NBB","A","36","35","K1270","13:30:00","15:15:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NBB","A","36","35","ONLINE","11:40:00","13:25:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"CSN"," 505","NAA","A","36","16","C3034","08:00:00","09:45:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"CSN"," 505","NAA","A","36","16","ONLINE","13:30:00","15:15:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NEE","A","35","17","K1270","08:55:00","10:40:00","N","N","N","N","Y","Al-Hayali,Ahmed","H","NH"
"CSN"," 405","NEE","A","35","17","ONLINE","09:50:00","11:35:00","N","Y","N","N","N","Al-Hayali,Ahmed","H","NH"
"DSM"," 760","NBB","A","36","29","A1509","18:05:00","19:50:00","Y","N","N","N","N","Al-Obaidi,Samer","P","NH"
"DSM"," 760","NBB","A","36","29","A1509A","17:10:00","18:55:00","N","N","Y","N","N","Al-Obaidi,Samer","P","NH"
"SED"," 200","NAA","A","25","14","K3170","14:25:00","17:05:00","N","Y","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SED"," 800","NAA","A","20","18","K3170","10:45:00","14:20:00","N","Y","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SED"," 800","NAA","A","20","18","K3170","08:55:00","10:40:00","N","N","N","N","Y","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SEP"," 200","NAA","A","25","16","K3170","08:00:00","09:45:00","Y","N","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SEP"," 200","NAA","A","25","16","C4032","11:40:00","13:25:00","N","N","N","Y","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"DBS"," 211","NCC","A","30","22","B3090","14:25:00","16:10:00","N","Y","N","N","N","Alam,Tanvir","P","NH"
"DBS"," 211","NCCL","A","30","22","A1509","11:40:00","13:25:00","N","N","N","Y","N","Alam,Tanvir","P","NH"
"DBS"," 211","NDD","A","30","23","B3094","09:50:00","11:35:00","N","Y","N","N","N","Alam,Tanvir","P","NH"
"DBS"," 211","NDDL","A","30","23","A1509","14:25:00","16:10:00","N","N","N","Y","N","Alam,Tanvir","P","NH"
"DBS"," 311","NCC","A","35","35","B3044","11:40:00","13:25:00","N","Y","N","N","N","Alam,Tanvir","FL","NH"
"DBS"," 311","NCCL","A","35","35","A1509","09:50:00","11:35:00","N","N","N","Y","N","Alam,Tanvir","P","NH"
"WEB"," 222","NAA","A","35","2","A2534","11:40:00","13:25:00","N","N","N","Y","N","Alam,Tanvir","P","NH"
"WEB"," 222","NAA","A","35","2","A2534","09:50:00","11:35:00","N","Y","N","N","N","Alam,Tanvir","P","NH"
"WEB"," 222","NBB","A","35","10","A3527","08:55:00","10:40:00","N","N","N","Y","N","Alam,Tanvir","P","NH"
"WEB"," 222","NBB","A","35","10","A2534","14:25:00","16:10:00","N","Y","N","N","N","Alam,Tanvir","P","NH"
"WEB"," 222","NCC","A","35","16","A2534","12:35:00","14:20:00","N","Y","N","N","N","Alam,Tanvir","P","NH"
"WEB"," 222","NCC","A","35","16","A2534","14:25:00","16:10:00","N","N","N","Y","N","Alam,Tanvir","P","NH"
"SYD"," 366","NAA","A","40","40","A2520","14:25:00","16:10:00","Y","N","N","N","N","Alexander,Christopher","FL","NH"
"SYD"," 366","NAAL","A","40","40","A4515","09:50:00","11:35:00","N","N","Y","N","N","Alexander,Christopher","P","NH"
"SYD"," 366","NBB","A","40","40","A4501","14:25:00","16:10:00","N","Y","N","N","N","Alexander,Christopher","FL","NH"
"SYD"," 366","NBBL","A","40","40","C3036","11:40:00","13:25:00","N","N","N","Y","N","Alexander,Christopher","P","NH"
"SYD"," 366","NCC","A","40","38","B1080","10:45:00","12:30:00","Y","N","N","N","N","Alexander,Christopher","FL","NH"
