"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"APD"," 545","NBB","A","35","36","A4513","13:30:00","15:15:00","N","N","Y","N","N","Ali,Mahboob","H","NH"
"APD"," 545","NBB","A","35","36","ONLINE","11:40:00","13:25:00","Y","N","N","N","N","Ali,Mahboob","H","NH"
"APD"," 545","NCC","A","35","25","A3512","09:50:00","11:35:00","N","N","Y","N","N","Ali,Mahboob","H","NH"
"APD"," 545","NCC","A","35","25","ONLINE","13:30:00","15:15:00","Y","N","N","N","N","Ali,Mahboob","H","NH"
"IPC"," 144","NEE","A","35","33","A3081","10:45:00","13:25:00","Y","N","N","N","N","Alzghool,Muath","P","NH"
"IPC"," 144","NEEL","A","35","33","C2032","08:00:00","10:40:00","N","N","N","Y","N","Alzghool,Muath","P","NH"
"DSA"," 456","NEE","A","35","28","B4059","15:20:00","17:05:00","N","Y","N","N","N","Amjoun,Rachida","FL","NH"
"DSA"," 456","NEEL","A","35","28","B1079","09:50:00","11:35:00","N","N","N","Y","N","Amjoun,Rachida","P","NH"
"DSA"," 456","NRA","A","35","12","A2520","11:40:00","13:25:00","N","Y","N","N","N","Amjoun,Rachida","FL","NH"
"DSA"," 456","NRAL","A","35","12","B1079","13:30:00","15:15:00","N","N","N","Y","N","Amjoun,Rachida","P","NH"
"DSA"," 456","NRB","A","35","16","B1083","13:30:00","15:15:00","N","Y","N","N","N","Amjoun,Rachida","FL","NH"
"DSA"," 456","NRBL","A","35","16","B1079","11:40:00","13:25:00","N","N","N","Y","N","Amjoun,Rachida","P","NH"
"CYT"," 145","NBB","A","35","21","ONLINE","16:15:00","18:55:00","N","N","N","Y","N","Anghelache,Ionut","OB","NH"
"PMC"," 200","NCE","A","20","7","A3059","17:10:00","19:50:00","Y","N","N","N","N","Anglin,Mark","P","NH"
"PMC"," 230","NCE","A","20","7","B1029","19:55:00","21:40:00","Y","N","N","N","N","Anglin,Mark","H","NH"
"PMC"," 700","NAA","A","36","9","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Ansari,Muhammad Amir","H","NH"
"PMC"," 700","NAA","A","36","9","A4512","13:30:00","15:15:00","N","N","N","Y","N","Ansari,Muhammad Amir","H","NH"
"APL"," 701","NAA","A","36","12","K1270","10:45:00","13:25:00","Y","N","N","N","N","Apted,Scott R.","H","NH"
"APL"," 701","NAA","A","36","12","ONLINE","10:45:00","11:35:00","N","N","N","Y","N","Apted,Scott R.","H","NH"
"CSP"," 450","NAA","A","36","36","K1270","08:00:00","10:40:00","N","N","Y","N","N","Apted,Scott R.","H","NH"
"CSP"," 450","NAA","A","36","36","ONLINE","11:40:00","12:30:00","N","N","N","N","Y","Apted,Scott R.","H","NH"
"CSP"," 450","NBB","A","36","36","K1270","08:00:00","10:40:00","N","N","N","Y","N","Apted,Scott R.","H","NH"
"CSP"," 450","NBB","A","36","36","ONLINE","14:25:00","15:15:00","N","N","N","N","Y","Apted,Scott R.","H","NH"
"CVI"," 620","NSA","A","35","34","ONLINE","10:45:00","12:30:00","N","N","N","N","Y","Azizi,Elham","H","NH"
"CVI"," 620","NSA","A","35","34","C3032","09:50:00","11:35:00","N","Y","N","N","N","Azizi,Elham","H","NH"
"CVI"," 620","NSB","A","35","25","A1508","08:00:00","09:45:00","N","Y","N","N","N","Azizi,Elham","H","NH"
"CVI"," 620","NSB","A","35","25","ONLINE","08:00:00","09:45:00","N","N","N","Y","N","Azizi,Elham","H","NH"
"BTP"," 500","NAA","A","35","33","K3015","11:40:00","13:25:00","Y","N","N","N","N","Barna,Cornel","H","NH"
"BTP"," 500","NAA","A","35","33","ONLINE","09:50:00","11:35:00","N","N","N","N","Y","Barna,Cornel","H","NH"
"BTP"," 500","NBB","A","35","19","ONLINE","08:00:00","09:45:00","N","N","N","N","Y","Barna,Cornel","H","NH"
"BTP"," 500","NBB","A","35","19","K3015","11:40:00","13:25:00","N","Y","N","N","N","Barna,Cornel","H","NH"
"DSA"," 456","NCC","A","35","35","K3110","13:30:00","15:15:00","Y","N","N","N","N","Barna,Cornel","FL","NH"
"DSA"," 456","NCCL","A","35","35","K3272","11:40:00","13:25:00","N","N","N","Y","N","Barna,Cornel","P","NH"
"DSA"," 456","NDD","A","35","35","B1020","13:30:00","15:15:00","N","Y","N","N","N","Barna,Cornel","FL","NH"
"DSA"," 456","NDDL","A","35","35","K3272","13:30:00","15:15:00","N","N","N","Y","N","Barna,Cornel","P","NH"
"PRG"," 101","NAA","A","35","35","C3032","08:00:00","09:45:00","N","N","Y","N","N","Bashir,Bushra","P","NH"
"PRG"," 101","NAA","A","35","35","A4516","12:35:00","14:20:00","Y","N","N","N","N","Bashir,Bushra","P","NH"
"PRG"," 101","NBB","A","35","35","A3512","12:35:00","14:20:00","N","N","N","N","Y","Bashir,Bushra","P","NH"
"PRG"," 101","NBB","A","35","35","A1509A","14:25:00","16:10:00","Y","N","N","N","N","Bashir,Bushra","P","NH"
"PRG"," 101","NCC","A","35","13","A4515","10:45:00","12:30:00","N","N","Y","N","N","Bashir,Bushra","P","NH"
"PRG"," 101","NCC","A","35","13","A1509A","09:50:00","11:35:00","N","N","N","N","Y","Bashir,Bushra","P","NH"
"WIN"," 700","NIA","A","36","37","ONLINE","12:35:00","14:20:00","N","N","Y","N","Y","Beheshti,Nooshin","OB","NH"
"PRJ"," 566","NCC","A","35","23","ONLINE","09:50:00","11:35:00","N","N","N","Y","N","Behkamal,Behshid Polytechnic","H","NH"
"PRJ"," 566","NCC","A","35","23","B1031","11:40:00","13:25:00","N","N","Y","N","N","Behkamal,Behshid Polytechnic","H","NH"
"DAT"," 330","NCC","A","36","28","A4515","15:20:00","17:05:00","Y","N","N","N","N","Boroumand,Mohammad Hesam","P","NH"
"DAT"," 330","NCC","A","36","28","K3274","11:40:00","13:25:00","N","N","Y","N","N","Boroumand,Mohammad Hesam","P","NH"
"OPS"," 445","NDD","A","36","16","C2030","17:10:00","18:55:00","N","Y","N","N","N","Brauer,Eric","H","NH"
"OPS"," 445","NDD","A","36","16","ONLINE","16:15:00","18:00:00","N","N","N","N","Y","Brauer,Eric","H","NH"
"SPS"," 120","NDD","A","36","21","B1031","08:55:00","11:35:00","N","N","Y","N","N","Brauer,Eric","P","NH"
"PRG"," 155","NAAL","A","24","19","A4066","10:45:00","12:30:00","N","N","N","Y","N","Bryan,Wayne A","P","NH"
"PRG"," 155","NAB","A","48","43","K3264","08:55:00","10:40:00","N","N","Y","N","N","Bryan,Wayne A","P","NH"
"PRG"," 155","NBBL","A","24","24","A4066","08:55:00","10:40:00","N","N","N","Y","N","Bryan,Wayne A","P","NH"
"PRG"," 155","NCD","A","48","32","K3264","16:15:00","18:00:00","N","N","N","N","Y","Bryan,Wayne A","P","NH"
"PRG"," 255","NAAL","A","24","10","A4080","11:40:00","13:25:00","N","Y","N","N","N","Bryan,Wayne A","P","NH"
"PRG"," 255","NAB","A","48","32","K3265","11:40:00","13:25:00","N","N","N","N","Y","Bryan,Wayne A","P","NH"
"PRG"," 255","NBBL","A","24","22","A4092","13:30:00","15:15:00","N","Y","N","N","N","Bryan,Wayne A","P","NH"
"COM"," 805","NCE","A","30","11","D4031","17:10:00","19:50:00","Y","N","N","N","N","Buchner,Mark","H","NH"
"PMC"," 250","NCE","A","20","7","ONLINE","20:50:00","21:40:00","N","N","N","Y","N","Buchner,Mark","H","NH"
"PMC"," 250","NCE","A","20","7","B4021","17:10:00","20:45:00","N","N","N","Y","N","Buchner,Mark","H","NH"
"SDL"," 810","NCE","A","30","11","D3055","18:05:00","19:50:00","N","N","Y","N","N","Buchner,Mark","H","NH"
"BTL"," 300","NAA","A","30","28","ONLINE","09:50:00","11:35:00","N","N","N","Y","N","Burton,Ronald Eden","H","NH"
