"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"ELA"," 521","NSB","A","40","40","ONLINE","17:10:00","18:55:00","Y","N","N","N","N","Achim,Diana Gabriela","OS","NH"
"ELA"," 521","NSB","A","40","40","ONLINE","11:40:00","13:25:00","N","N","N","N","Y","Achim,Diana Gabriela","OS","NH"
"CLO"," 835","NAA","A","36","23","ONLINE","19:55:00","21:40:00","N","N","Y","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NAA","A","36","23","A4516","19:00:00","20:45:00","Y","N","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"BDA"," 100","NAA","A","25","19","C3032","11:40:00","14:20:00","Y","N","N","N","N","Aghababaei Tafreshi,Omid","P","NH"
"BTN"," 415","NCC","A","35","25","A1509A","08:00:00","09:45:00","N","N","N","N","Y","Ahmed,Rana","H","NH"
"BTN"," 415","NCC","A","35","25","ONLINE","11:40:00","13:25:00","N","Y","N","N","N","Ahmed,Rana","H","NH"
"DSM"," 760","NAA","A","36","23","A3518","19:00:00","20:45:00","N","N","N","Y","N","Ahmed,Sami","P","NH"
"DSM"," 760","NAA","A","36","23","A1509","18:05:00","19:50:00","N","Y","N","N","N","Ahmed,Sami","P","NH"
"APS"," 145","NGG","A","40","39","B1079","14:25:00","17:05:00","N","Y","N","N","N","Akbari,Hesam","P","NH"
"SYD"," 366","NBB","A","39","40","D3052","14:25:00","16:10:00","N","N","Y","N","N","Akbari,Hesam","FL","NH"
"SYD"," 366","NBBL","A","39","40","C2032","09:50:00","11:35:00","N","N","N","N","Y","Akbari,Hesam","P","NH"
"CLO"," 745","NCE","A","25","25","A1509","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","25","25","C2036","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"SEC"," 715","NCE","A","25","23","A3516","19:00:00","20:45:00","N","N","N","Y","N","Akbari,Mehdi","H","NH"
"SEC"," 715","NCE","A","25","23","ONLINE","11:40:00","13:25:00","N","Y","N","N","N","Akbari,Mehdi","H","NH"
"PMC"," 115","NCE","A","40","25","A3512","19:55:00","21:40:00","Y","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 200","NCE","A","40","38","A4519","17:10:00","19:50:00","Y","N","N","N","N","Akkus,Tayfun","P","NH"
"PMC"," 444","NAA","A","42","33","A4501","17:10:00","18:55:00","N","Y","N","N","N","Akkus,Tayfun","FL","NH"
"PMC"," 444","NAAL","A","42","33","A3518","09:50:00","11:35:00","N","N","N","Y","N","Akkus,Tayfun","P","NH"
"CSN"," 205","NAA","A","36","28","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NAA","A","36","28","K1001","08:00:00","11:35:00","N","N","N","Y","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NFF","A","36","35","ONLINE","10:45:00","12:30:00","N","N","Y","N","N","Al Quraishi,Rami","H","NH"
